algorithm_name,env_n,states_n,actions_count,actions_cost,time,solution_found
"RANDOM",1,17,16,16,0.001020,False
"BFS",1,232,13,13,0.000579,True
"DFS",1,1436,157,157,0.001145,True
"DLS(50)",1,1027,0,0,0.000753,False
"DLS(75)",1,1001,0,0,0.001524,False
"DLS(100)",1,972,0,0,0.000777,False
"UCS[E1]",1,228,13,13,0.000975,True
"A*[E1]",1,50,13,13,0.000328,True
"UCS[E2]",1,248,13,94,0.001124,True
"A*[E2]",1,50,13,94,0.000649,True
"RANDOM",2,13,12,12,0.001277,False
"BFS",2,142,12,12,0.000381,True
"DFS",2,2943,92,92,0.002200,True
"DLS(50)",2,366,36,36,0.000348,True
"DLS(75)",2,412,68,68,0.000446,True
"DLS(100)",2,344,92,92,0.000409,True
"UCS[E1]",2,143,12,12,0.001364,True
"A*[E1]",2,42,12,12,0.000307,True
"UCS[E2]",2,151,12,75,0.000694,True
"A*[E2]",2,42,12,75,0.000314,True
"RANDOM",3,11,10,10,0.000851,False
"BFS",3,57,5,5,0.000242,True
"DFS",3,217,85,85,0.000412,True
"DLS(50)",3,876,37,37,0.000718,True
"DLS(75)",3,547,75,75,0.000560,True
"DLS(100)",3,605,97,97,0.000586,True
"UCS[E1]",3,42,5,5,0.000285,True
"A*[E1]",3,10,5,5,0.000178,True
"UCS[E2]",3,113,5,41,0.000826,True
"A*[E2]",3,10,5,41,0.000191,True
"RANDOM",4,97,96,96,0.004349,False
"BFS",4,55,9,9,0.000297,True
"DFS",4,250,61,61,0.000412,True
"DLS(50)",4,211,47,47,0.000325,True
"DLS(75)",4,215,61,61,0.000391,True
"DLS(100)",4,215,61,61,0.000398,True
"UCS[E1]",4,59,9,9,0.000409,True
"A*[E1]",4,24,9,9,0.000308,True
"UCS[E2]",4,56,9,27,0.000712,True
"A*[E2]",4,24,9,27,0.000322,True
"RANDOM",5,50,49,49,0.002105,False
"BFS",5,60,6,6,0.000248,True
"DFS",5,379,124,124,0.000520,True
"DLS(50)",5,502,0,0,0.000442,False
"DLS(75)",5,318,74,74,0.000420,True
"DLS(100)",5,481,84,84,0.000529,True
"UCS[E1]",5,49,6,6,0.000329,True
"A*[E1]",5,7,6,6,0.000176,True
"UCS[E2]",5,141,6,60,0.000693,True
"A*[E2]",5,7,6,60,0.000201,True
"RANDOM",6,11,10,10,0.000831,False
"BFS",6,161,9,9,0.000415,True
"DFS",6,1711,175,175,0.001342,True
"DLS(50)",6,969,45,45,0.000715,True
"DLS(75)",6,811,75,75,0.000684,True
"DLS(100)",6,1038,0,0,0.000793,False
"UCS[E1]",6,140,9,9,0.000643,True
"A*[E1]",6,18,9,9,0.000196,True
"UCS[E2]",6,227,9,81,0.001156,True
"A*[E2]",6,18,9,81,0.000275,True
"RANDOM",7,3,2,2,0.000489,False
"BFS",7,179,17,17,0.000452,True
"DFS",7,223,57,57,0.000338,True
"DLS(50)",7,206,45,45,0.000252,True
"DLS(75)",7,188,57,57,0.000301,True
"DLS(100)",7,188,57,57,0.000318,True
"UCS[E1]",7,183,17,17,0.000936,True
"A*[E1]",7,61,17,17,0.000418,True
"UCS[E2]",7,199,17,125,0.000893,True
"A*[E2]",7,61,17,125,0.000402,True
"RANDOM",8,7,6,6,0.000716,False
"BFS",8,126,13,13,0.000304,True
"DFS",8,786,179,179,0.002023,True
"DLS(50)",8,1008,0,0,0.001180,False
"DLS(75)",8,970,65,65,0.001378,True
"DLS(100)",8,1008,0,0,0.001268,False
"UCS[E1]",8,113,13,13,0.000555,True
"A*[E1]",8,46,13,13,0.000292,True
"UCS[E2]",8,106,13,58,0.001272,True
"A*[E2]",8,46,13,58,0.000306,True
"RANDOM",9,40,39,39,0.001724,False
"BFS",9,87,10,10,0.000259,True
"DFS",9,880,200,200,0.001551,True
"DLS(50)",9,1016,30,30,0.000724,True
"DLS(75)",9,1095,34,34,0.000802,True
"DLS(100)",9,812,100,100,0.000692,True
"UCS[E1]",9,76,10,10,0.000351,True
"A*[E1]",9,32,10,10,0.000229,True
"UCS[E2]",9,78,10,37,0.000383,True
"A*[E2]",9,32,10,37,0.000305,True
"RANDOM",10,3,2,2,0.001140,False
"BFS",10,185,15,15,0.000507,True
"DFS",10,523,131,131,0.000585,True
"DLS(50)",10,529,45,45,0.000532,True
"DLS(75)",10,295,75,75,0.000412,True
"DLS(100)",10,491,99,99,0.000552,True
"UCS[E1]",10,193,15,15,0.000900,True
"A*[E1]",10,68,15,15,0.000538,True
"UCS[E2]",10,157,15,87,0.000799,True
"A*[E2]",10,68,15,87,0.000495,True
"RANDOM",11,13,12,12,0.000851,False
"BFS",11,202,12,12,0.000536,True
"DFS",11,188,70,70,0.000375,True
"DLS(50)",11,219,50,50,0.000317,True
"DLS(75)",11,178,70,70,0.000331,True
"DLS(100)",11,178,70,70,0.000466,True
"UCS[E1]",11,199,12,12,0.000930,True
"A*[E1]",11,45,12,12,0.000347,True
"UCS[E2]",11,199,12,84,0.001201,True
"A*[E2]",11,45,12,84,0.000363,True
"RANDOM",12,5,4,4,0.000614,False
"BFS",12,122,9,9,0.000402,True
"DFS",12,158,59,59,0.000327,True
"DLS(50)",12,205,41,41,0.000329,True
"DLS(75)",12,143,59,59,0.000317,True
"DLS(100)",12,143,59,59,0.000318,True
"UCS[E1]",12,131,9,9,0.000659,True
"A*[E1]",12,28,9,9,0.000303,True
"UCS[E2]",12,100,9,36,0.000562,True
"A*[E2]",12,28,9,36,0.000296,True
"RANDOM",13,4,3,3,0.000674,False
"BFS",13,159,13,13,0.000430,True
"DFS",13,318,93,93,0.000485,True
"DLS(50)",13,439,49,49,0.000442,True
"DLS(75)",13,301,67,67,0.001088,True
"DLS(100)",13,278,93,93,0.000393,True
"UCS[E1]",13,159,13,13,0.000756,True
"A*[E1]",13,56,13,13,0.000417,True
"UCS[E2]",13,169,13,67,0.000867,True
"A*[E2]",13,56,13,67,0.000428,True
"RANDOM",14,5,4,4,0.000572,False
"BFS",14,64,10,10,0.000225,True
"DFS",14,803,148,148,0.000814,True
"DLS(50)",14,146,50,50,0.000230,True
"DLS(75)",14,700,50,50,0.000672,True
"DLS(100)",14,579,88,88,0.000582,True
"UCS[E1]",14,64,10,10,0.000374,True
"A*[E1]",14,11,10,10,0.000160,True
"UCS[E2]",14,156,10,100,0.000824,True
"A*[E2]",14,11,10,100,0.000163,True
"RANDOM",15,16,15,15,0.000954,True
"BFS",15,5,1,1,0.000169,True
"DFS",15,297,95,95,0.000481,True
"DLS(50)",15,551,27,27,0.000530,True
"DLS(75)",15,358,69,69,0.000527,True
"DLS(100)",15,262,95,95,0.000522,True
"UCS[E1]",15,2,1,1,0.000168,True
"A*[E1]",15,2,1,1,0.000173,True
"UCS[E2]",15,6,1,10,0.000190,True
