algorithm_name,size,n_runs,pct_optimal,h_mean,h_std,time_opt_mean,time_opt_std,states_opt_mean,states_opt_std
GA,4,30.0,100.0,0.0,0.0,0.0022975,0.0011498228274315824,73.33333333333333,82.76819867946674
GA,8,30.0,60.0,0.4,0.49827287912243984,0.021680888888888892,0.01328740272894014,1166.6666666666667,788.1474929150223
GA,10,30.0,36.666666666666664,0.6333333333333333,0.4901325178535609,0.0660991818181818,0.036837939960910365,2427.2727272727275,800.1136282940181
HC,4,30.0,3.3333333333333335,1.1,0.4025778999364489,0.000137,,12.0,
HC,8,30.0,6.666666666666667,1.6,0.7701320979389588,0.0008095,2.7577164466275333e-05,58.0,0.0
HC,10,30.0,0.0,2.1,0.7588557629520364,,,,
SA,4,30.0,100.0,0.0,0.0,0.0006160333333333333,0.0004368884086459555,47.13333333333333,31.582113372247136
SA,8,30.0,20.0,0.9333333333333333,0.5832922809856749,0.0014366666666666666,0.0007255091086035148,93.33333333333333,48.833048918398156
SA,10,30.0,3.3333333333333335,1.6333333333333333,0.6686751354593717,0.00103,,57.0,
random,4,30.0,100.0,0.0,0.0,0.0019396999999999997,0.0021118315983998347,151.26666666666668,157.5856490344511
random,8,30.0,0.0,1.4,0.49827287912243984,,,,
random,10,30.0,0.0,2.5,0.5085476277156078,,,,
