algorithm_name,env_n,size,best_solution,H,states,time
GA,1,4,"[2, 0, 3, 1]",0,0,0.002550
GA,2,4,"[2, 0, 3, 1]",0,100,0.004202
GA,3,4,"[2, 0, 3, 1]",0,0,0.001141
GA,4,4,"[2, 0, 3, 1]",0,200,0.003735
GA,5,4,"[1, 3, 0, 2]",0,200,0.003854
GA,6,4,"[1, 3, 0, 2]",0,100,0.002783
GA,7,4,"[1, 3, 0, 2]",0,100,0.002704
GA,8,4,"[1, 3, 0, 2]",0,100,0.002552
GA,9,4,"[2, 0, 3, 1]",0,100,0.002918
GA,10,4,"[2, 0, 3, 1]",0,100,0.002524
GA,11,4,"[2, 0, 3, 1]",0,100,0.002547
GA,12,4,"[1, 3, 0, 2]",0,0,0.001197
GA,13,4,"[1, 3, 0, 2]",0,100,0.002520
GA,14,4,"[1, 3, 0, 2]",0,0,0.001207
GA,15,4,"[2, 0, 3, 1]",0,100,0.002496
GA,16,4,"[1, 3, 0, 2]",0,0,0.001192
GA,17,4,"[1, 3, 0, 2]",0,100,0.003370
GA,18,4,"[1, 3, 0, 2]",0,300,0.005154
GA,19,4,"[1, 3, 0, 2]",0,0,0.001231
GA,20,4,"[2, 0, 3, 1]",0,100,0.002682
GA,21,4,"[1, 3, 0, 2]",0,0,0.001498
GA,22,4,"[1, 3, 0, 2]",0,0,0.001124
GA,23,4,"[2, 0, 3, 1]",0,0,0.001132
GA,24,4,"[1, 3, 0, 2]",0,200,0.003512
GA,25,4,"[1, 3, 0, 2]",0,200,0.003566
GA,26,4,"[1, 3, 0, 2]",0,0,0.001099
GA,27,4,"[1, 3, 0, 2]",0,0,0.001168
GA,28,4,"[1, 3, 0, 2]",0,0,0.001093
GA,29,4,"[2, 0, 3, 1]",0,0,0.001093
GA,30,4,"[2, 0, 3, 1]",0,0,0.001081
GA,1,8,"[5, 2, 0, 7, 4, 1, 3, 6]",0,1300,0.023850
GA,2,8,"[3, 1, 6, 2, 5, 7, 0, 4]",0,500,0.010233
GA,3,8,"[7, 3, 1, 7, 5, 0, 6, 4]",1,5000,0.094342
GA,4,8,"[7, 3, 1, 6, 2, 0, 2, 4]",1,5000,0.086717
